Serial,Count,TYPE,X,Y
14399,1,PROPERTY,-90.21485638,38.79142391
14400,1,PROPERTY,-90.21485194,38.78410334
14401,1,PROPERTY,-90.21483359,38.74951521
14402,1,PERSON,-90.21480247,38.7755654
14403,1,PROPERTY,-90.21479347,38.79160312
14404,1,PERSON,-90.21477951,38.74983985
14405,1,PROPERTY,-90.21471671,38.7420908
14406,1,PROPERTY,-90.2147117,38.74170266
14407,1,PROPERTY,-90.2147001,38.75190693
14408,1,PROPERTY,-90.2147001,38.75190693
14409,1,PROPERTY,-90.2146732,38.74235201
14410,1,PROPERTY,-90.2146573,38.77100731
14411,1,PROPERTY,-90.2146443,38.75065146
14412,1,PROPERTY,-90.21460521,38.75046829
14413,1,PROPERTY,-90.21459459,38.75196239
14414,1,PERSON,-90.21459459,38.75196239
14415,1,PROPERTY,-90.21459354,38.79217004
14416,1,PROPERTY,-90.21459354,38.79217004
14417,1,PROPERTY,-90.21459354,38.79217004
14418,1,PROPERTY,-90.21459354,38.79217004
14419,1,PROPERTY,-90.21459354,38.79217004
14420,1,PROPERTY,-90.21457898,38.74201378
14421,1,PROPERTY,-90.21455389,38.79228238
14422,1,PROPERTY,-90.21453042,38.77107063
14423,1,PERSON,-90.21451843,38.74307221
14424,1,PERSON,-90.21451843,38.74307221
14425,1,PROPERTY,-90.21449557,38.75154423
14426,1,PERSON,-90.21449169,38.74345792
14427,1,PROPERTY,-90.21449169,38.74345792
14428,1,PROPERTY,-90.21447298,38.79250687
14429,1,PROPERTY,-90.21447298,38.79250687
14430,1,PROPERTY,-90.21447298,38.79250687
14431,1,PROPERTY,-90.21447298,38.79250687
14432,1,PROPERTY,-90.21447298,38.79250687
14433,1,PROPERTY,-90.21447298,38.79250687
14434,1,PROPERTY,-90.21447298,38.79250687
14435,1,PROPERTY,-90.21447298,38.79250687
14436,1,PERSON,-90.21445431,38.74369229
14437,1,PERSON,-90.21445431,38.74369229
14438,1,PROPERTY,-90.21445073,38.75263611
14439,1,PROPERTY,-90.21444496,38.74375088
14440,1,PROPERTY,-90.21443562,38.74380947
14441,1,PROPERTY,-90.21442688,38.78254638
14442,1,PERSON,-90.21438293,38.74199485
14443,1,PROPERTY,-90.21436283,38.77008542
14444,1,PROPERTY,-90.21436283,38.77008542
14445,1,PERSON,-90.21435159,38.79284336
14446,1,PROPERTY,-90.2143158,38.77102796
14447,1,PROPERTY,-90.2143158,38.77102796
14448,1,PERSON,-90.2143158,38.77102796
14449,1,PROPERTY,-90.21429299,38.77000003
14450,1,PERSON,-90.21426749,38.79306735
14451,1,PROPERTY,-90.21425413,38.76983011
14452,1,PROPERTY,-90.21425413,38.76983011
14453,1,PROPERTY,-90.21424953,38.77760538
14454,1,PROPERTY,-90.21424239,38.7699159
14455,1,PROPERTY,-90.21424239,38.7699159
14456,1,PROPERTY,-90.21420381,38.79323492
14457,1,PERSON,-90.21420331,38.76975325
14458,1,PROPERTY,-90.21417798,38.76985268
14459,1,PERSON,-90.21405624,38.79343482
14460,1,PROPERTY,-90.21405624,38.79343482
14461,1,PROPERTY,-90.21389281,38.74194754
14462,1,PROPERTY,-90.21376366,38.78969404
14463,1,PROPERTY,-90.21370903,38.79892729
14464,1,PROPERTY,-90.2137031,38.79867039
14465,1,PERSON,-90.2137031,38.79867039
14466,1,PERSON,-90.2137031,38.79867039
14467,1,PROPERTY,-90.21369982,38.79433107
14468,1,PROPERTY,-90.21369982,38.79433107
14469,1,PROPERTY,-90.21369982,38.79433107
14470,1,PERSON,-90.21369982,38.79433107
14471,1,PROPERTY,-90.21368697,38.75773741
14472,1,PROPERTY,-90.2135572,38.74836788
14473,1,PROPERTY,-90.21353205,38.79914365
14474,1,PROPERTY,-90.21345,38.76953
14475,1,PROPERTY,-90.21343127,38.79508289
14476,1,PROPERTY,-90.21343127,38.79508289
14477,1,PERSON,-90.21343127,38.79508289
14478,1,PROPERTY,-90.21343127,38.79508289
14479,1,PROPERTY,-90.21329404,38.7723155
14480,1,PROPERTY,-90.21328553,38.75095528
14481,1,PROPERTY,-90.21325361,38.79545698
14482,1,PROPERTY,-90.21324655,38.78640533
14483,1,PERSON,-90.21322558,38.78230843
14484,1,PROPERTY,-90.21317482,38.7847628
14485,1,PROPERTY,-90.21311842,38.78229211
14486,1,PROPERTY,-90.21311609,38.79953994
14487,1,PROPERTY,-90.21310861,38.74187184
14488,1,PROPERTY,-90.21301903,38.74180873
14489,1,PERSON,-90.21290516,38.79664443
14490,1,PROPERTY,-90.21290516,38.79664443
14491,1,PROPERTY,-90.21290302,38.79611891
14492,1,PROPERTY,-90.21290302,38.79611891
14493,1,PROPERTY,-90.21287862,38.78960411
14494,1,PROPERTY,-90.21275913,38.78959208
14495,1,PROPERTY,-90.21275913,38.78959208
14496,1,PROPERTY,-90.21275913,38.78959208
14497,1,PERSON,-90.21275913,38.78959208
14498,1,PROPERTY,-90.21272496,38.74178035
14499,1,PROPERTY,-90.21267813,38.78222511
14500,1,PROPERTY,-90.21266175,38.78816875
14501,1,PROPERTY,-90.2125504,38.79978492
14502,1,PERSON,-90.2125504,38.79978492
14503,1,PROPERTY,-90.21253995,38.78004523
14504,1,PROPERTY,-90.21252779,38.77903954
14505,1,PROPERTY,-90.21248915,38.74826391
14506,1,PROPERTY,-90.21248143,38.74923193
14507,1,PERSON,-90.21245426,38.75210529
14508,1,PROPERTY,-90.21242412,38.79824681
14509,1,PERSON,-90.21242244,38.7418056
14510,1,PERSON,-90.21242244,38.7418056
14511,1,PROPERTY,-90.21237053,38.75753795
14512,1,PROPERTY,-90.21237053,38.75753795
14513,1,PROPERTY,-90.2122565,38.79857673
14514,1,PROPERTY,-90.21223756,38.74823872
14515,1,PERSON,-90.21223756,38.74823872
14516,1,PROPERTY,-90.21223756,38.74823872
14517,1,PROPERTY,-90.21223756,38.74823872
14518,1,PROPERTY,-90.21221877,38.75240338
14519,1,PERSON,-90.212216,38.752379
14520,1,PERSON,-90.21220148,38.78702788
14521,1,PERSON,-90.21220148,38.78702788
14522,1,PERSON,-90.21220148,38.78702788
14523,1,PERSON,-90.21220148,38.78702788
14524,1,PERSON,-90.21220148,38.78702788
14525,1,PERSON,-90.21220148,38.78702788
14526,1,PERSON,-90.21220148,38.78702788
14527,1,PERSON,-90.21220148,38.78702788
14528,1,PERSON,-90.21220148,38.78702788
14529,1,PROPERTY,-90.21211176,38.74822612
14530,1,PROPERTY,-90.21211176,38.74822612
14531,1,PROPERTY,-90.21210503,38.79336537
14532,1,PERSON,-90.21209589,38.74286472
14533,1,PERSON,-90.21209589,38.74286472
14534,1,PERSON,-90.21207866,38.77691119
14535,1,PROPERTY,-90.21204754,38.77999582
14536,1,PERSON,-90.21201752,38.77678716
14537,1,PROPERTY,-90.21198597,38.74821352
14538,1,PERSON,-90.21193537,38.75865639
14539,1,PERSON,-90.211907,38.78776095
14540,1,PROPERTY,-90.2118749,38.79309423
14541,1,PROPERTY,-90.21187237,38.75753771
14542,1,PROPERTY,-90.21186039,38.75956546
14543,1,PERSON,-90.21186017,38.74820092
14544,1,PROPERTY,-90.21184638,38.80047281
14545,1,PERSON,-90.21183987,38.74283991
14546,1,PERSON,-90.21170793,38.7750224
14547,1,PROPERTY,-90.21169779,38.800629
14548,1,PROPERTY,-90.21169779,38.800629
14549,1,PROPERTY,-90.21168899,38.80227684
14550,1,PROPERTY,-90.21163068,38.79081284
