Count,TYPE,X,Y
1,PERSON,-90.48056953,38.68723432
1,PROPERTY,-90.48033627,38.68255999
1,PROPERTY,-90.48029892,38.5328827
1,PROPERTY,-90.48012149,38.52473577
1,PROPERTY,-90.48002683,38.55282531
1,PERSON,-90.47974071,38.55299504
1,PROPERTY,-90.47973584,38.52458916
1,PROPERTY,-90.47968543,38.59601678
1,PROPERTY,-90.47968543,38.59601678
1,PROPERTY,-90.47959478,38.59623896
1,PROPERTY,-90.47959478,38.59623896
1,PERSON,-90.47945525,38.55477592
1,PROPERTY,-90.47927749,38.57267343
1,PROPERTY,-90.47897926,38.59602105
1,PROPERTY,-90.47882257,38.55409831
1,PROPERTY,-90.47878417,38.56777763
1,PROPERTY,-90.47878417,38.56777763
1,PROPERTY,-90.47863573,38.51740361
1,PROPERTY,-90.47841811,38.5015962
1,PROPERTY,-90.47806874,38.57218465
1,PROPERTY,-90.47788031,38.59533785
1,PROPERTY,-90.477875,38.59516414
1,PROPERTY,-90.47781475,38.59420867
1,PROPERTY,-90.47768416,38.59438686
1,PROPERTY,-90.47740052,38.59628052
1,PROPERTY,-90.47740052,38.59628052
1,PROPERTY,-90.47740052,38.59628052
1,PROPERTY,-90.47740052,38.59628052
1,PROPERTY,-90.47739196,38.68139595
1,PROPERTY,-90.47728307,38.68440061
1,PROPERTY,-90.4771859,38.56602338
1,PROPERTY,-90.4771859,38.56602338
1,PROPERTY,-90.47715457,38.52116218
1,PROPERTY,-90.47710258,38.57110619
1,PROPERTY,-90.47701859,38.70091124
1,PERSON,-90.47697406,38.51432065
1,PROPERTY,-90.4768642,38.56729928
1,PROPERTY,-90.47679592,38.68189508
1,PROPERTY,-90.47658398,38.51909428
1,PROPERTY,-90.47656596,38.51931593
1,PERSON,-90.47625796,38.56714999
1,PERSON,-90.47608592,38.6885648
1,PROPERTY,-90.47608592,38.6885648
1,PROPERTY,-90.47600936,38.56712673
1,PROPERTY,-90.4760083,38.56723657
1,PROPERTY,-90.47569789,38.70113256
